bin,lower,upper,median
1,0.343,0.405,0.372
2,0.405,0.477,0.439
3,0.477,0.563,0.519
4,0.563,0.665,0.612
5,0.665,0.784,0.722
6,0.784,0.926,0.852
7,0.926,1.09,1.01
8,1.09,1.29,1.19
9,1.29,1.52,1.4
10,1.52,1.8,1.65
11,1.8,2.12,1.95
12,2.12,2.5,2.3
13,2.5,2.95,2.72
14,2.95,3.48,3.2
15,3.48,4.11,3.78
16,4.11,4.85,4.46
17,4.85,5.72,5.27
18,5.72,6.75,6.21
19,6.75,7.97,7.33
20,7.97,9.4,8.65
21,9.4,11.1,10.2
22,11.1,13.1,12.1
23,13.1,15.4,14.2
24,15.4,18.2,16.8
25,18.2,21.5,19.8
26,21.5,25.4,23.4
27,25.4,30,27.6
28,30,35.4,32.5
29,35.4,41.7,38.4
30,41.7,49.2,45.3
31,49.2,58.1,53.5
32,58.1,68.6,63.1
33,68.6,80.9,74.5
34,80.9,95.5,87.9
35,95.5,113,104
36,113,133,122
37,133,157,144
38,157,185,170
39,185,218,201
40,218,258,237
41,258,304,280
42,304,359,331
43,359,424,390
44,424,500,460
